user_id,gender,followee_count,followers_count,location,birthday,registry_time,certification,credit,constellation,comment_count,repost_count,like_count,post_count
472d194ff53047640ad8843b2e04cf12,2,6976.0,1367624,22,Unknown,22783 days 14:56:34,1,0,0,"355,817","118,493","1,224,234",Unknown
ab9358393189cd071514a294cb8eb308,2,2131.0,1040846,39,12403 days 04:09:24,22413 days 22:49:48,1,0,4,"107,585","234,206","88,471",Unknown
65f84f5d82c7bb05ad137abbfce3c34b,2,886.0,8436813,12,12240 days 04:09:24,22563 days 14:20:07,1,0,9,"11,158,794","4,155,546","35,366,891",Unknown
adee44a6f7b4b53eecba6ccde726aa0d,0,718.0,1574424,39,Unknown,22617 days 22:58:16,1,0,3,"144,275","16,259","311,891",Unknown
581377f52179774958de6d5f8c786016,2,2417.0,437245,41,Unknown,22726 days 18:34:48,0,0,12,"305,259","168,281","2,175,671",Unknown
1f94c0082639f5ae81c1b12692a4a289,2,456.0,1642626,30,Unknown,22760 days 17:51:10,1,0,1,"934,276","1,245,152","487,817",Unknown
18f3e869dd1e4b70532714e41e82563b,0,550.0,2355250,37,19123 days 04:09:24,22816 days 21:18:57,1,3,8,"82,494","166,911","1,361,621",Unknown
d2f422ba59d11b509eee7e734f096656,2,350.0,46260,37,14859 days 04:09:24,22849 days 04:02:12,1,3,3,"7,895",484,"3,275",Unknown
80366142bcfad1c0b01d25cd602b5964,2,364.0,2996255,8,14886 days 04:09:24,23235 days 22:17:58,1,0,7,"274,991","381,709","1,437,075",Unknown
53aa72d688b152942868b4b8b077f8a7,0,19463.0,18808,39,15324 days 04:09:24,23448 days 01:43:26,1,3,4,"3,316",521,"13,427",Unknown
ecddddc35782c657953e0edef5245224,2,942.0,2984013,37,Unknown,23778 days 20:09:59,1,0,3,"1,141,735","3,702,011","1,584,658",Unknown
1ada70d1895f25da8c746e48ad8f34ff,2,1126.0,391,18,13562 days 04:09:24,23983 days 23:17:25,0,3,12,124,18,279,Unknown
6b967f0358f0847fa945c7f48c528f45,2,116.0,106423,41,11553 days 04:09:24,24218 days 10:17:16,0,0,2,817,675,"1,801",Unknown
26dc7821c637e6f18579a4b13cde9475,2,370.0,10226,30,18146 days 04:09:24,24344 days 04:07:32,0,3,3,473,15,307,Unknown
0cb53d83a53d8e4d253a2c1bb3de0b09,2,71.0,493625,39,Unknown,25531 days 23:00:50,1,0,11,"6,266","1,703","20,850",Unknown
dffbe471833517e7619fc87cd17421e8,2,108.0,9,11,Unknown,25895 days 11:04:27,0,3,1,210,3,91,Unknown
