user_id,gender,followee_count,followers_count,location,birthday,registry_time,certification,credit,constellation,comment_count,repost_count,like_count,post_count
efe4025fe6fe60c976c1068d9a5ff1dd,2,5555.0,798830,13,Unknown,22284 days 20:23:37,1,0,2,"185,281","745,085","537,171",Unknown
6adbe34b03009d5d9a52f53f486e94b8,0,5129.0,3260,4,15105 days 04:09:24,22456 days 15:45:25,0,3,8,"3,290","8,925","4,001",Unknown
d1b5db5b742177ae6234d3bee2300f70,2,593.0,313929,25,Unknown,23117 days 15:03:42,1,0,7,"141,437","128,534","1,501,909",Unknown
d95083b47ae1c15a5836cbc20d3f0c66,2,1020.0,132493,11,11238 days 04:09:24,22284 days 20:45:21,1,0,7,"176,181","488,258","443,292",Unknown
6df1fefc06a0ae285d981a5e486fb4b7,0,1358.0,681,39,15164 days 04:09:24,22356 days 20:36:55,0,0,9,"3,084","1,438","1,027",Unknown
ce086356c2b3cf8696364f13fe77f882,2,845.0,253002,14,Unknown,22334 days 11:38:32,1,0,10,"489,139","143,805","1,002,733",Unknown
6ef3b3be6b891691cb19f40ed1f7c4cb,2,2572.0,178020,24,Unknown,22725 days 14:40:04,1,0,10,"146,055","185,478","989,521",Unknown
581377f52179774958de6d5f8c786016,2,2417.0,437245,41,Unknown,22726 days 18:34:48,0,0,12,"305,259","168,281","2,175,671",Unknown
990ed0099951235099397ccaa895751e,0,694.0,57850,14,Unknown,22770 days 23:38:01,0,0,11,"184,720","166,507","560,357",Unknown
44b02b57fd3c6cac74949b27556dfc18,2,257.0,517756,9,-17767 days +04:09:24,22819 days 03:03:18,1,0,8,"631,269","544,166","2,709,101",Unknown
7a975405fb91562f6680bbc95ebe847c,2,526.0,2569225,39,Unknown,22974 days 18:01:02,1,0,4,"387,067","906,104","6,640,497",Unknown
065b497b3b79b4243df71b6cc7beb8bb,2,1214.0,474,3,Unknown,23776 days 20:19:56,0,3,3,334,189,717,Unknown
102acb86ed9158cf525d0ba7c40091fd,0,3137.0,328,9,17370 days 04:09:24,24221 days 21:37:17,0,3,9,"3,921",770,"7,626",Unknown
c27617748bb5d578f3bc794ecef7f9ef,0,2246.0,92962,30,Unknown,24480 days 11:21:34,1,3,1,"2,376",533,"7,707",Unknown
014debcbf4417296be05ee3836358a72,0,211.0,11,25,Unknown,24556 days 21:15:13,0,3,1,145,6,"1,196",Unknown
