user_id,gender,followee_count,followers_count,location,birthday,registry_time,certification,credit,constellation,comment_count,repost_count,like_count,post_count
bc1cf7babb7c9c6fc97f08c1179febe1,0,661,1092,30,17888 days 04:09:24,23934 days 12:32:47,0,3,4,"5,450","7,278","9,057",11971
717436950b53c02456553b354d05a6a5,0,212,316,22,14411 days 04:09:24,22606 days 04:14:48,0,0,10,"2,458",101,"1,063",6190
61f0beb2d9c15f7c8b0fd57d76798bff,0,85,68,37,Unknown,22854 days 21:06:02,1,3,1,138,304,498,1102
27869bd16503f64dfb43e3e0b91331e7,2,3105,6810,17,Unknown,22885 days 19:40:36,1,0,10,"1,049",983,"2,960",120900
3bd5572f6532683b766595b512e3500c,0,1761,894,39,16468 days 04:09:24,22820 days 22:38:26,0,3,12,"2,134",292,"1,007",2967
9f1efd1b2ce6ec4c5944df9ca43c823a,2,254,363,13,Unknown,22438 days 00:45:31,0,3,11,"2,341",213,"1,248",950
5d47f44efe6671f4d091ae8f32b1b98c,2,88,62896,39,Unknown,23732 days 20:51:23,1,0,7,"18,444","56,852","91,923",32769
163b93ee3e428388614634b6782c82c8,0,335,3323,39,-7906 days +04:09:24,22449 days 01:18:33,0,3,8,118,0,246,333
a9651a805ef8afc27d09509d36312917,2,440,2251,30,15750 days 04:09:24,22439 days 19:36:05,0,3,12,"30,347","16,181","1,640",16358
4e23bec14d90316b2cf4276779a4a7ad,0,375,1451,20,14431 days 04:09:24,22647 days 01:12:55,0,3,9,"2,066",183,697,797
56fa361861a876cd3740dc8226fa6036,0,383,59040,39,22315 days 04:09:24,22289 days 15:18:21,0,0,12,"31,048","31,871","7,603",7050
e0af54e148366fb4732c9f55cf7bfb8c,2,644,9198,8,Unknown,22742 days 02:38:01,1,3,8,"14,441","5,540","58,719",18577
3b2bc7e926479095011163c5b4856255,0,837,31509,3,Unknown,22602 days 03:25:03,1,0,3,"51,235","5,079","66,035",7860
ddef7111318d57406e05e5adc7a8e0df,0,394,880,38,Unknown,22736 days 14:54:20,0,3,12,"6,166",208,"9,178",2407
acab9e2221ac48eb644b732a4d0bc0f0,0,320,1926,11,Unknown,22474 days 00:48:32,0,0,5,392,20,784,590
712087ecaf4bc74dae3ffe2926d060cb,0,25,280715,10,Unknown,22504 days 16:30:45,1,0,6,"10,765","9,836","34,627",20806
f9ff62cc03888056202899d275ba3db9,2,1066,14976,25,Unknown,22815 days 14:10:41,1,3,1,"6,243","75,679","4,492",2080
5843d65f9629fc744315edda6ee6eea1,2,1710,1091531,37,Unknown,22525 days 23:32:07,1,3,1,"78,178","123,901","169,963",88276
22d587ab315cfa8abe06b364f83b1021,2,440,2420798,37,14286 days 04:09:24,22635 days 21:00:00,1,0,12,"171,884","264,481","1,018,028",100124
6492acbbfc97855b69de3a1fd9083772,0,3418,165,30,Unknown,22464 days 18:38:20,0,3,7,"1,436","1,464","2,401",11216
c9943b7a246319ba79e523fb50c96a33,0,776,21,8,Unknown,23641 days 00:48:59,0,3,1,8,17,59,463
b4f21cd95d352ee0d6bb277b06c956a8,2,1301,3889490,37,Unknown,22560 days 01:11:13,1,0,1,"481,034","904,162","1,818,549",89063
9e96d909e71021ce90969c41bfeeb835,2,744,24025,30,16831 days 04:09:24,22335 days 22:01:09,1,0,12,"122,766","101,081","235,073",44330
3345801018aaa149df9dd239d504e4e9,0,205,6345,0,Unknown,22564 days 23:40:18,1,0,9,"9,412","2,860","5,706",9941
79d031f55095ced8f5dbf3b5cf4867fc,0,105,452,24,Unknown,22606 days 20:48:42,0,0,12,226,4,192,285
ab5c4d6aeadcf8d4dd8ca003eab96d3e,0,715,806,11,Unknown,22421 days 06:12:09,0,3,2,"5,326",697,"4,300",9182
4dcd839b6f43c1a62967d3d1b13931a4,0,318,241014,37,Unknown,23585 days 17:22:07,1,3,1,"132,050","13,810","76,148",65976
a48d8b1b59d00d01e521e9e4e785132d,0,691,2953,10,Unknown,22668 days 21:09:03,1,0,12,"8,789","5,281","6,752",2063
8aa61c58d0eb9f2a72ae1c4082414817,0,592,371,20,Unknown,22655 days 15:24:47,0,3,9,859,89,408,3732
c20b33f19b8108ba6fa112dca4ec3488,0,196,1205,10,15749 days 04:09:24,22549 days 13:20:35,0,3,12,"11,461","1,808","1,966",10449
46c0e6118a2da2fd0874ac0820b4b0f7,0,195,464,25,Unknown,23017 days 14:26:35,0,0,12,"5,701",212,685,2835
2aacea7ca7b8416bc9e050540b34e293,0,636,441,1,17761 days 04:09:24,23177 days 07:51:50,0,0,2,520,33,856,1143
d90dd8fff53bfc837eb96051e3665942,0,423,496,24,14381 days 04:09:24,22544 days 00:53:49,0,0,8,"3,641",428,439,5420
e7a1c93308f4fa52c644d72721ec2e47,2,200,233,10,Unknown,22473 days 23:29:23,0,3,1,442,51,807,1388
94b5b8d34288ce2101427deb0f00653c,2,550,3760931,37,Unknown,22301 days 18:40:49,1,3,1,"1,279,477","605,404","21,096,287",92821
4d47c1a9f8524755a611798987bc8fcf,0,1433,69079,11,Unknown,22310 days 12:40:14,1,3,1,"39,304","59,934","54,100",10030
348d4871ab3ef7b2cf91a7e1bf05f7e3,0,369,2749,3,16863 days 04:09:24,22376 days 21:12:49,0,0,6,"3,596",132,"4,305",1261
a916d24b24116ab30a2be5c5ed86a3b1,0,213,708,14,14714 days 04:09:24,22375 days 14:12:25,0,3,11,"2,240",149,"1,464",9883
a5aa91d0737bf64a9a13835e7c36bd5d,2,1133,484619,39,Unknown,22977 days 17:21:20,1,0,1,"7,539","5,129","18,582",2326
24e0c762013309cad09275e861c6af91,2,71,5474107,39,Unknown,22407 days 13:09:27,1,0,1,"881,036","1,438,712","15,209,275",27958
f18129668d2db5136a82c48f61416e83,0,746,2344,30,Unknown,23080 days 01:43:05,0,0,10,"3,467",64,"7,012",744
8c89681aeb308ee0c3249980b4671489,0,477,196873,11,Unknown,22609 days 23:57:02,1,0,0,"50,214","3,906","79,512",1776
45e86273217e1050d06e63615c2398d5,0,1090,7407,25,15597 days 04:09:24,22435 days 23:33:25,1,0,3,"23,585","4,248","12,094",6595
cf70b8e5da8ff53ac9688df3399d1c0f,0,756,359234,12,Unknown,22509 days 15:24:11,1,0,7,"8,716","2,355","50,412",544
476b20db610c84a072ac4de2314d0998,2,1105,3402,10,15779 days 04:09:24,22446 days 23:36:48,1,0,6,"1,306",194,"1,649",1636
21192de8c632234a36d3be1977447954,2,548,3593872,24,Unknown,22448 days 12:19:03,1,0,1,"2,193,838","12,231,972","3,051,958",17905
bc6d5a304ba57c8babe1995630098118,0,68,176,11,Unknown,22620 days 15:40:52,0,3,8,"4,472","1,747","3,568",1049
dcaba1ddcee9a52bd30d8d4beeda89a2,2,905,1546,18,Unknown,22452 days 00:34:13,0,0,0,"11,781","3,455","1,323",23706
ca4eebdd9c94dda6308ccf5d719eb225,2,1089,298,30,Unknown,22455 days 21:57:30,0,3,12,"7,366","2,415","1,035",6125
37191a2dfb2025322893d1150d441b70,0,1562,39029,10,Unknown,22461 days 14:36:40,1,0,1,"393,819","968,915","601,327",21633
037b1e61f6f2df34fbc8d72b531c59a4,0,225,637,35,Unknown,22465 days 17:47:10,0,3,12,"1,800",309,"3,520",5145
cbe4fe6d3020aea1a255a2090f34927e,2,1004,359972,37,Unknown,22469 days 01:53:49,1,3,1,"307,332","1,437,175","1,423,545",68340
b5419f5c4a63837b89831aba6dd5d4cf,2,1190,1958686,37,11452 days 04:09:24,22469 days 22:47:32,1,3,8,"560,588","1,103,705","874,311",105265
408993215a6802e2decd9c778d276a01,0,209,440,33,16602 days 04:09:24,22643 days 02:19:43,0,0,10,833,7,318,478
540817835dd9c4288af397590b0f7f3d,0,299,254,30,Unknown,22484 days 00:07:29,0,3,1,"3,747",347,279,4116
04b85442d2dfadeffae2a5bc6416e69f,0,779,707,20,Unknown,22513 days 18:18:22,0,3,1,"2,625",631,686,3771
4090678ada6a5774a23a10da318febcd,2,615,1395,30,13346 days 04:09:24,22515 days 00:10:41,0,3,9,"17,908","5,739",821,24576
844a02ed3f928b9406c36c332687eee4,0,3213,555,30,15303 days 04:09:24,22522 days 07:20:21,0,3,0,"2,020",408,"1,364",6948
3b913c13d72a290bea02f40e56a1e740,0,429,223,30,Unknown,22522 days 21:36:27,0,3,1,"2,205",4,"1,215",1154
3200ccb44f11670cb85cf3d5ac460ab9,0,153,523,30,Unknown,22524 days 18:49:12,0,0,9,"15,160",217,905,2133
c7e610f0ab004e879eef096568038ef1,0,320,332,30,15107 days 04:09:24,22530 days 21:20:29,0,3,8,"4,647",277,256,1286
bb92e8846ef572fe208cd8e4e9e44729,0,1258,470,33,Unknown,22536 days 01:06:12,0,3,1,"5,405",235,402,1954
81e2047adbbaee7f3844d6aa950543eb,2,358,2919372,30,Unknown,22540 days 19:07:12,1,0,1,"1,195,684","2,953,050","1,372,170",20879
2e624bf55b536f5b785331cf7ebf7605,0,2552,2331822,39,Unknown,22553 days 18:12:16,1,0,9,"1,026,878","968,733","2,912,012",8729
8d95b89e56f33adca21db069443a124a,0,452,257,24,Unknown,22553 days 22:50:45,0,3,1,663,68,48,1433
0f0097e85e178b267b067f887d66eec4,0,194,940,30,Unknown,22560 days 02:41:18,0,3,10,"1,033",145,665,1962
5d2ac052feaab3a597900bf8c95530a7,0,640,481,30,-7315 days +04:09:24,22558 days 10:35:18,0,0,4,130,12,347,1159
be13474eddbdce08a046e6f75174c854,2,4214,140116,30,Unknown,22559 days 06:37:56,1,0,10,"78,924","496,130","238,190",82134
5521ecd5e2f357055082767086da19b0,0,1366,779297,6,17800 days 04:09:24,22561 days 01:04:22,1,0,3,"256,618","165,078","1,018,250",8911
97faddd26267a512e1855c0fc6dc4870,0,559,269,30,15084 days 04:09:24,22561 days 01:49:40,0,3,11,"4,581",430,102,878
9f12eb8305184849489be8cacd7daa64,0,278,201,36,Unknown,22696 days 22:39:09,0,3,3,210,61,293,715
0601584c5f2f1cdff7169d35106d15d0,0,795,53217,4,Unknown,22577 days 00:57:01,1,0,8,"63,355","5,818","212,094",8549
b5b44b851d15b96a6b97834f6d2f116b,0,125,121,30,14484 days 04:09:24,22574 days 21:06:59,0,3,3,680,78,521,2319
056b825528b0d9d92a3b53f8b8af1320,0,447,260,39,15996 days 04:09:24,22577 days 17:09:45,0,3,7,933,65,341,1097
7023a4426a22931aa2e033d3044c5706,0,645,160,14,Unknown,22585 days 13:09:15,0,3,1,"1,008",1,952,547
616c2f38c5dd1f190f646f767b4efd2c,0,205,1588,1,Unknown,22619 days 01:50:25,0,0,8,124,0,179,57
b3bb03240f567a74a9e8d5a6515f837e,0,204,711,11,Unknown,22601 days 20:25:18,0,0,3,"2,430",174,450,1489
71a71e0f6ecad024b07033ff220ea413,0,485,10492,30,14483 days 04:09:24,22602 days 22:23:29,1,3,2,"26,264","1,649","12,007",1364
21864446f911b9032877556b842803f4,0,118,389,13,Unknown,22605 days 21:44:01,0,3,5,775,29,296,533
f23a6a1cb9a7ed2dab67a9a8410185d9,0,271,609,11,Unknown,22621 days 22:24:37,0,0,9,"1,252",92,"1,306",895
afe12384df8d939679b1cee11d50f76b,0,77,1708676,11,Unknown,22610 days 21:57:08,1,3,1,"2,828,014","3,723,968","3,978,582",22826
f70c22251aebae41f2c52e91fd7aec38,0,608,443,11,Unknown,22611 days 16:16:02,0,3,1,"2,631",559,"1,179",7784
0e18f7895a09a3446c027238d529d358,0,300,513,39,17623 days 04:09:24,22611 days 19:16:55,0,3,11,875,2,985,394
b41b70f7237246146cf893ac254261ed,0,780,507,14,17709 days 04:09:24,22622 days 22:46:20,0,0,10,"1,007",1,"1,414",347
216c7707e1ad33e56a0d48a2dc0f1f16,2,1301,80652964,37,18392 days 04:09:24,22616 days 17:37:00,1,3,8,"59,578,967","47,723,451","643,393,362",234097
49ecfe9d36eebfbe4a66e2fa228732e2,0,150,393271,37,Unknown,22617 days 13:24:36,1,3,1,181,116,"1,277",6867
9d92c09599501d6f087a4196c07be9e7,2,131,136427,24,Unknown,22626 days 13:36:09,1,3,1,"1,916","2,360","5,832",955
a91e06ad3a17b97fa1ac708b75b68946,2,1438,13211,11,16216 days 04:09:24,22628 days 18:13:03,0,0,8,886,"13,040","3,127",643
8df90dab2fc3db24df9c2372f55cd5df,0,484,221,39,Unknown,22629 days 03:15:24,0,3,9,924,15,"1,008",922
a34a982ac20e65638b1e1843cb36973f,0,219,13189,24,18171 days 04:09:24,22630 days 16:37:26,1,0,7,"1,751",1,"3,040",1882
8176ba2f0d183fb4c12d424f4011a9e6,0,449,2947,5,16890 days 04:09:24,22657 days 17:46:20,0,3,6,"7,350",109,"16,080",1023
7f1e1827dc1c3d508e2ae1a6bd357552,0,291,433,30,15977 days 04:09:24,22636 days 21:34:24,0,3,7,600,54,487,525
b8ebfec0d0ed8603893202fc39885f0f,0,230,53,18,17147 days 04:09:24,23608 days 20:07:33,0,3,4,286,0,111,351
4f3bd99acb414e8540fb07ef27ac7045,0,377,345,8,18434 days 04:09:24,22644 days 17:08:41,0,3,10,"2,905",28,"2,112",487
78793e1abb4e7094ddc9559b821f8f18,0,138,291,24,Unknown,22648 days 12:48:17,0,3,1,"6,864",432,216,1236
aa4adaebf0091978cc104d47675bff11,0,242,263,39,16152 days 04:09:24,22649 days 15:43:10,0,3,6,41,5,108,238
dff42d4c19c3fa286a354410a31d7d9c,0,748,1108,30,Unknown,22651 days 20:38:45,0,3,3,"2,635",97,"1,354",671
ca8111e198a3d1c0d59131b72a55daad,0,1332,1351,24,Unknown,22652 days 01:34:10,0,0,11,"27,865","2,031","16,733",12144
40634a2864c9efede53ddf1b668911d4,0,623,1168,39,11817 days 04:09:24,22656 days 02:56:09,0,0,8,"14,315","2,773","5,183",11646
43a123084d368941b11650f6303b14ee,0,427,483334,30,14870 days 04:09:24,22663 days 18:23:30,1,3,3,"226,076","747,963","203,950",4379
92d7cd518d5f15dd6a1275ef901bb982,0,303,383501,37,Unknown,22753 days 13:05:14,1,3,1,"201,820","634,142","1,978,895",120179
6ace86b6d21a1a03fec39aecb0c97665,0,825,788,11,Unknown,22682 days 18:36:18,0,3,9,750,29,589,1380
184c90f44cb32fbbc80094231f8bdd6a,2,127,567,39,Unknown,22662 days 13:42:44,0,4,1,782,57,305,3641
659470cea1558b46f9bf26af3954cf3c,0,331,94,10,19422 days 04:09:24,22662 days 17:35:34,0,3,6,238,2,355,123
ac67ac3fbd1cc9cac581b8d80731b63d,0,106,384,30,14582 days 04:09:24,22668 days 15:50:16,0,0,4,"4,311","1,133","4,166",9766
5565366e6768aa55782d7357da0fb4c3,0,1099,980,39,Unknown,22665 days 20:50:54,0,3,1,"23,978","6,320","8,712",19228
435f82e7aa77d7507224ae3d0d373ff2,0,310,344,22,Unknown,22778 days 22:42:56,0,0,1,764,14,561,882
5486cc9eaa34e7409c57cf83b623150f,0,1229,1029,10,14672 days 04:09:24,22678 days 19:15:44,0,0,6,"12,491",852,"3,537",9092
70cb89195cee44f041a49df5aacbbe4b,0,461,2158,3,Unknown,22679 days 21:27:42,1,0,10,"5,196","1,497","1,203",5409
85c7a88684f7f7fe670721f2878d3b2c,0,442,199,14,18743 days 04:09:24,22699 days 18:55:47,0,3,11,580,10,683,512
0de430a47f6972655b97040acbea5a2d,0,279,315,24,Unknown,22684 days 17:22:42,0,3,11,"2,859",218,899,1576
888416e6419b06ed8ced597bafc308ea,0,686,1302,11,25332 days 04:09:24,22685 days 22:14:28,0,3,8,"12,777","11,797","3,198",15954
aca94600bf93c91618a5696e3aae0feb,0,209,586,30,Unknown,22716 days 17:44:18,0,3,2,"1,242",47,616,481
b72d50d500924110de8a3203ba146185,2,83,5791791,37,Unknown,22691 days 18:47:48,1,3,1,"573,522","2,293,083","9,095,703",10997
f6d3464d7f3b4557e6bb0e307a33c6a9,0,831,1566,33,Unknown,22691 days 19:32:55,0,3,7,"13,832","1,413","2,859",4591
31a635917cc9c606d9bdad6963906ab4,0,109,252,11,Unknown,22692 days 18:35:57,0,3,12,"1,047",94,60,905
8cbe8412c122636c70d80b7eb12b4dfd,0,186,289,30,15608 days 04:09:24,22720 days 03:56:39,0,3,3,896,45,125,232
17e1fd6451d109831fef1d2388f1ad03,0,202,1008,14,Unknown,22703 days 18:34:02,0,3,10,566,388,416,1281
f24c35c18b689987fefb1f72c4d63efe,0,956,1822,30,21259 days 04:09:24,22708 days 01:14:30,0,0,6,983,169,488,2693
23c2a05b71ed74cf634b096887feec9c,0,143,245,15,Unknown,22895 days 16:45:28,0,3,1,143,6,152,179
6055c9745e1bd5c642b665d42c718162,0,83,2167,22,15580 days 04:09:24,22749 days 12:27:49,1,0,3,21,0,10,316
33902e0b86b9526175b3c9902d229069,0,540,210497,20,Unknown,22731 days 00:30:01,1,3,8,"29,000","4,839","15,807",6538
c9366d462dade7ad6cbfa9756a7503eb,0,426,791,30,15979 days 04:09:24,22714 days 23:57:33,0,0,7,"8,880",387,854,4480
b8e8103f6e8dcf36e76ef20b4b14b3a4,2,1941,8923095,37,Unknown,22735 days 20:55:11,1,3,1,"1,804,626","2,097,019","4,608,955",69104
c49bfe17c3a0cc7ff9e23c3fa733875d,0,735,592,36,17379 days 04:09:24,22738 days 00:35:54,0,0,2,"7,414",481,"3,871",8709
e75a182d600d9aa7cdf51603ded6cd50,0,649,294116,30,Unknown,22738 days 21:12:35,1,3,1,"98,646","142,249","352,531",13603
2007a8ade4d4994abac84ba8f3fa88c4,0,261,211,30,17617 days 04:09:24,22741 days 19:22:42,0,3,6,"1,659",90,738,882
